order_name	family_name	genus_name	species_name	country	province	geographical_location	exactsite	FID	Shape *	ECO_CODE	ECOREGION	PROV_CODE	PROVINCE	RLM_CODE	REALM	ALT_CODE	ECO_CODE_X	Lat_Zone
Blenniiformes	Tripterygiidae	Enneapterygius	Enneapterygius nigricauda	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, surge channel through the reef on no	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Syngnathiformes	Syngnathidae	Doryrhamphus	Doryrhamphus melanopleura	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, patch reef at north end of lagoon su	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Kurtiformes	Apogonidae	Pristiapogon	Pristiapogon kallopterus	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, patch reef at north end of lagoon su	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Aulopiformes	Synodontidae	Synodus	Synodus dermatogenys	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, patch reef at north end of lagoon su	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Labriformes	Labridae	Labroides	Labroides dimidiatus	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, patch reef at north end of lagoon su	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Labriformes	Labridae	Epibulus	Epibulus insidiator	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, patch reef at north end of lagoon su	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Gobiiformes	Gobiidae	Eviota	Eviota distigma	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, patch reef at north end of lagoon su	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Gobiiformes	Gobiidae	Eviota	Eviota disrupta	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, surge channel through the reef on no	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Gobiiformes	Gobiidae	Eviota		French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, surge channel through the reef on no	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Labriformes	Labridae	Coris	Coris gaimard	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, surge channel through the reef on no	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Tetraodontiformes	Tetraodontidae	Canthigaster	Canthigaster janthinoptera	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, surge channel through the reef on no	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Acanthuriformes	Acanthuridae	Acanthurus	Acanthurus lineatus	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, surge channel through the reef on no	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Labriformes	Labridae	Halichoeres	Halichoeres hortulanus	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, surge channel through the reef on no	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Perciformes	Cirrhitidae	Neocirrhites	Neocirrhites armatus	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, surge channel through the reef on no	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Holocentriformes	Holocentridae	Plectrypops	Plectrypops lima	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, surge channel through the reef on no	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Perciformes	Chaetodontidae	Chaetodon	Chaetodon quadrimaculatus	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, surge channel through the reef on no	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Labriformes	Labridae	Halichoeres	Halichoeres hortulanus	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, surge channel through the reef on no	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Perciformes	Cirrhitidae	Paracirrhites	Paracirrhites hemistictus	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, surge channel through the reef on no	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Gobiiformes	Gobiidae	Cabillus	Cabillus tongarevae	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, southwest corner of lagoon on reef f	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Gobiiformes	Gobiidae	Cabillus	Cabillus tongarevae	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, southwest corner of lagoon on reef f	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Gobiiformes	Gobiidae	Palutrus	Palutrus pruinosa	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, southwest corner of lagoon on reef f	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Gobiiformes	Gobiidae	Palutrus	Palutrus pruinosa	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, southwest corner of lagoon on reef f	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Callionymiformes	Callionymidae	Callionymus	Callionymus simplicicornis	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, southwest corner of lagoon on reef f	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Gobiiformes	Gobiidae	Eviota	Eviota infulata	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, lagoon, patch reef at southeast end	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Blenniiformes	Blenniidae	Enchelyurus		French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, lagoon, patch reef at southeast end	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Kurtiformes	Apogonidae	Fowleria	Fowleria isostigma	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, lagoon, patch reef at southeast end	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Aulopiformes	Synodontidae	Saurida	Saurida gracilis	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, lagoon, patch reef at southeast end	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Aulopiformes	Synodontidae	Saurida	Saurida gracilis	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, lagoon, patch reef at southeast end	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Aulopiformes	Synodontidae	Synodus	Synodus variegatus	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, lagoon, patch reef at southeast end	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Gobiiformes	Gobiidae	Amblygobius	Amblygobius phalaena	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, lagoon, patch reef at southeast end	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Holocentriformes	Holocentridae	Myripristis	Myripristis violacea	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, lagoon, patch reef at southeast end	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Holocentriformes	Holocentridae	Myripristis	Myripristis berndti	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, lagoon, patch reef at southeast end	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Kurtiformes	Apogonidae	Cheilodipterus	Cheilodipterus artus	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, lagoon, patch reef at southeast end	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Ovalentaria	Pomacentridae	Pomacentrus	Pomacentrus pavo	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, lagoon, patch reef at southeast end	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Kurtiformes	Apogonidae	Fowleria	Fowleria marmorata	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, lagoon, patch reef at southeast end	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Tetraodontiformes	Tetraodontidae	Canthigaster	Canthigaster solandri	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, lagoon, patch reef at southeast end	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Labriformes	Labridae	Cheilinus	Cheilinus chlorourus	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, lagoon, patch reef at southeast end	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Kurtiformes	Apogonidae	Pristiapogon	Pristiapogon exostigma	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, lagoon, patch reef at southeast end	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Gobiiformes	Gobiidae	Asterropteryx	Asterropteryx ensifera	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, lagoon, patch reef at southeast end	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Labriformes	Scaridae	Scarus	Scarus altipinnis	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, lagoon, patch reef at southeast end	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Labriformes	Labridae	Pseudocheilinus	Pseudocheilinus octotaenia	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, outer reef slope on southwest side o	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Perciformes	Pomacanthidae	Centropyge	Centropyge loricula	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, outer reef slope on southwest side o	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Tetraodontiformes	Monacanthidae	Pervagor	Pervagor aspricaudus	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, outer reef slope on southwest side o	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Perciformes	Pomacanthidae	Centropyge	Centropyge loricula	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, outer reef slope on southwest side o	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Labriformes	Labridae	Pseudocheilinus	Pseudocheilinus octotaenia	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, outer reef slope on southwest side o	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
Labriformes	Labridae	Cirrhilabrus	Cirrhilabrus scottorum	French Polynesia	Leeward Islands	Society Islands	Scilly Atoll, outer reef slope on southwest side o	159	Polygon	20161	Society Islands	40	Southeast Polynesia	7	Eastern Indo-Pacific	154	161	Tropical
