scientificName_Parasite 	Authority	scientificName_Host	Location	PROVINCE
Preptetos cylindricus	Wang, 1989          	Monacanthus chinensis	South China Sea	South China Sea
Transversotrema patialense	(Soparkar, 1924)          	Molliniesia latipinna	Coast of Philippines	Western Coral Triangle
Monodhelmis fujianensis	(Wang, 1982)          	Miichthys miiuy	South China Sea	South China Sea
Tormopsolus fuzhouensis	Wang, 1982          	Miichthys miiuy	South China Sea	South China Sea
Thulinia microrchis	(Yamaguti, 1934)          	Microcanthus strigatus	Australia: Coast of Queensland	Northeast Australian Shelf
Transversotrema licinum	Manter, 1970          	Microcanthus strigatus	Australia: Coast of Queensland	Northeast Australian Shelf
Plagioporus siliculus	Sinitzin, 1931          	Microcanthus strigatus	South China Sea	South China Sea
Lepocreadium clavatum	(Ozaki, 1932)          	Melichthys vidua	Hawaiian coast	Hawaii
Pseudopisthogonoporus vitellosus	(Pritchard, 1963)          	Melichthys vidua	Hawaiian coast	Hawaii
Lepotrema clavatum	Ozaki, 1932          	Melichthys vidua	Hawaiian coast	Hawaii
Lepotrema clavatum	Ozaki, 1932          	Melichthys vidua	Australia: Coast of Queensland	Northeast Australian Shelf
Lepotrema incisum	(Hanson, 1955)          	Melichthys buniva	Hawaiian coast	Hawaii
Lepocreadium clavatum	(Ozaki, 1932)          	Melichthys buniva	Hawaiian coast	Hawaii
Lepocreadium incisum	Hanson, 1955          	Melichthys buniva	Hawaiian coast	Hawaii
Lepotrema clavatum	Ozaki, 1932          	Melichthys buniva	Hawaiian coast	Hawaii
Prototransversotrema steeri	(Angel, 1969)          	Melanotaenia duboulayi	Queensland	Northeast Australian Shelf
Transversotrema patialense	(Soparkar, 1924)          	Megalops cyprinoides	Coast of Philippines	Western Coral Triangle
Bivesicula megalopis	Shen, 1982          	Megalops cyprinoides	South China Sea	South China Sea
Lecithocladium glandulum	Chauhan, 1945          	Megalaspis cordyla	South China Sea	South China Sea
Ectenurus megalaspis	Gu & Shen, 1978        	Megalaspis cordyla	South China Sea	South China Sea
Nematobothrium schistogonimum	Ku & Shen, 1965        	Megalaspis cordyla	South China Sea	South China Sea
Bucephalus fragilis	Velasquez, 1959          	Megalaspis cordyla	Coast of Philippines	Western Coral Triangle
Lecithocladium megalaspis	Yamaguti, 1953          	Megalaspis cordyla	Coast of Philippines	Western Coral Triangle
Makairatrema musculicola	Yamaguti, 1970          	Makaira mazara	Australia: Coast of Queensland	Northeast Australian Shelf
Neodidymozoon macrostoma	Yamaguti, 1970          	Makaira mazara	Australia: Coast of Queensland	Northeast Australian Shelf
Hirudinella marina	(Garcin, 1730)          	Makaira indica	Australia: Coast of Queensland	Northeast Australian Shelf
Cardicola grandis	Lebedev & Mamaev, 1968        	Makaira indica	Australia: Coast of Queensland	Northeast Australian Shelf
Glomeritrema subcuticola	Yamaguti, 1942          	Makaira indica	Australia: Coast of Queensland	Northeast Australian Shelf
Angionematobothrium jugulare	Yamaguti, 1970          	Makaira indica	Australia: Coast of Queensland	Northeast Australian Shelf
Makairatrema musculicola	Yamaguti, 1970          	Makaira indica	Australia: Coast of Queensland	Northeast Australian Shelf
Metadidymozoon branchiale	Yamaguti, 1970          	Makaira indica	Australia: Coast of Queensland	Northeast Australian Shelf
Neodidymozooides microstoma	Yamaguti, 1970          	Makaira indica	Australia: Coast of Queensland	Northeast Australian Shelf
Neodidymozoon macrostoma	Yamaguti, 1970          	Makaira indica	Australia: Coast of Queensland	Northeast Australian Shelf
Paracryptogonimus manilensis	Velasquez, 1961          	Lutjanus vitta	Coast of Philippines	Western Coral Triangle
Opegaster macrorchis	Yamaguti, 1938          	Lutjanus vitta	South China Sea	South China Sea
Pseudosiphoderoides lutjani	(Yamaguti, 1942)          	Lutjanus vaigiensis	South China Sea	South China Sea
Uterovesiculurus spindlis	Shen, 1990          	Lutjanus vaigiensis	South China Sea	South China Sea
Paracryptogonimus ovatus	Yamaguti, 1952          	Lutjanus vaigiensis	South China Sea	South China Sea
Paracryptogonimus xiamenensis	Liu, 1996          	Lutjanus russelli	South China Sea	South China Sea
Transversotrema licinum	Manter, 1970          	Lutjanus quinquelineatus	Australia: Coast of Queensland	Northeast Australian Shelf
Preptetos impar	Bray & Cribb, 1996        	Lutjanus malabaricus	Australia: Coast of Queensland	Northeast Australian Shelf
Helicometra pulchella	(Rudolphi, 1819)          	Lutjanus lineolatus	South China Sea	South China Sea
Hamacreadium hainanensis	Shen, 1990          	Lutjanus lineolatus	South China Sea	South China Sea
Hamacreadium hainanensis	Shen, 1990          	Lutjanus linealatus	South China Sea	South China Sea
Opegaster macrorchis	Yamaguti, 1938          	Lutjanus kasmira	South China Sea	South China Sea
Hamacreadium lethrini	Yamaguti, 1934          	Lutjanus johni	South China Sea	South China Sea
Hamacreadium lethrini	Yamaguti, 1934          	Lutjanus gibbus	Coast of Philippines	Western Coral Triangle
Paracryptogonimus orientalis	Fischthal & Kuntz, 1964        	Lutjanus fulviflamma	Coast of Philippines	Western Coral Triangle
Siphoderina asiatica	Gu & Shen, 1979        	Lutjanus fulviflamma	South China Sea	South China Sea
Paracryptogonimus manilensis	Velasquez, 1961          	Lutjanus fulviflamma	Coast of Philippines	Western Coral Triangle
Plerurus digitatus	(Looss, 1899)          	Lutjanus erythropterus	Australia: Coast of Queensland	Northeast Australian Shelf
Preptetos impar	Bray & Cribb, 1996        	Lutjanus erythropterus	Australia: Coast of Queensland	Northeast Australian Shelf
Lecithocladium lutiani	Gu & Shen, 1978        	Lutjanus erythropterus	South China Sea	South China Sea
Uterovesiculurus lutianius	Gu & Shen, 1978        	Lutjanus erythropterus	South China Sea	South China Sea
Siphoderina asiatica	Gu & Shen, 1979        	Lutjanus erythropterus	South China Sea	South China Sea
Hamacreadium hainanensis	Shen, 1990          	Lutjanus erythropterus	South China Sea	South China Sea
Hurleytrema hainanense	Shen, 1990          	Lutjanus erythropterus	South China Sea	South China Sea
Podocotyle lutiani	Shen, 1990          	Lutjanus erythropterus	South China Sea	South China Sea
Siphoderoides lutiani	Shen, 1990          	Lutjanus erythropterus	South China Sea	South China Sea
Erilepturus hamati	(Yamaguti, 1934)          	Lutjanus carponotatus	Australia: Coast of Queensland	Northeast Australian Shelf
Transversotrema licinum	Manter, 1970          	Lutjanus carponotatus	Australia: Coast of Queensland	Northeast Australian Shelf
