scientificName_Parasite 	Authority	scientificName_Host	Location	PROVINCE
Marsupioacetabulum opallioderma	Cribb & Bray, 1999        	Gerres subfasciatus	Australia: Coast of Queensland	Northeast Australian Shelf
Marsupioacetabulum marinum	Yamaguti, 1952          	Gerres punctatus	Pacific coast of Indonesia	Western Coral Triangle
Ozakia gerris	Shen, 1990          	Gerres macrosoma	South China Sea	South China Sea
Ozakia gerris	Shen, 1990          	Gerres filamentosus	South China Sea	South China Sea
Monostephanostomum gazzae	(Shen, 1990)          	Gazza minuta	South China Sea	South China Sea
Rhipidocotyle gazzae	(Shen, 1990)          	Gazza minuta	South China Sea	South China Sea
Elongoparorchis pneumatis	Rao, 1961          	Gazza minuta	Coast of Philippines	Western Coral Triangle
Bucephalus gazzae	Shen, 1990          	Gazza minuta	South China Sea	South China Sea
Stephanostomum gazzae	Shen, 1990          	Gazza minuta	South China Sea	South China Sea
Rhipidocotyle eggletoni	Velasquez, 1959          	Gazza minuta	Coast of Philippines	Western Coral Triangle
Prototransversotrema steeri	(Angel, 1969)          	Gambusia affinis	Queensland	Northeast Australian Shelf
Ascocotyle felippei	Price, 1935          	Gambusia affinis	Hawaiian Islands	Hawaii
Bianium hemistoma	(Ozaki, 1928)          	Fugu oblongus	South China Sea	South China Sea
Bianium isostoma	Liu, 1997          	Fugu oblongus	South China Sea	South China Sea
Paradeontacylix sinensis	Liu, 1997          	Fugu oblongus	South China Sea	South China Sea
Bianium hemistoma	(Ozaki, 1928)          	Fugu alboplumbeus	Australia: Coast of Queensland	Northeast Australian Shelf
Lecithocladium excisiforme	Cohn, 1902          	Formio niger	South China Sea	South China Sea
Opisthomonorcheides indicus	Karyakarte & Yadav, 1976        	Formio niger	South China Sea	South China Sea
Rhynchopharynx formionis	Shen, 1986          	Formio niger	South China Sea	South China Sea
Skrjabinopsolus sanyaensis	Shen, 1990          	Formio niger	South China Sea	South China Sea
Mitotrema anthostomatum	Manter, 1963          	Forcipiger flavissimus	Australia: Coast of Queensland	Northeast Australian Shelf
Callogonotrema fistulariae	Oshmarin, 1965          	Fistularia petimba	South China Sea	South China Sea
Stephanostomum petimba	Yamaguti, 1970          	Fistularia petimba	Hawaiian coast	Hawaii
Stephanostomum yagara	Yamaguti, 1970          	Fistularia petimba	Hawaiian coast	Hawaii
Neoallolepidapedon hawaiiense	Yamaguti, 1970          	Fistularia petimba	South China Sea	South China Sea
Didymocystis ovata	Ishii, 1935          	Euthynnus yaito	South China Sea	South China Sea
Plerurus digitatus	(Looss, 1899)          	Euthynnus affinis	Australia: Coast of Queensland	Northeast Australian Shelf
Bucephaloides sibi	(Yamaguti, 1940)          	Euthynnus affinis	Coast of Philippines	Western Coral Triangle
Prosorhynchoides sibi	(Yamaguti, 1940)          	Euthynnus affinis	Coast of Philippines	Western Coral Triangle
Lobatocystis euthynni	Ching & Madhavi, 1999        	Euthynnus affinis	Pacific coast of Indonesia	Western Coral Triangle
Cardicola congruenta	Lebedev & Mamaev, 1968        	Euthynnus affinis	South China Sea	South China Sea
Lecithochirium magnaporum	Manter, 1940          	Euthynnus affinis	Coast of Philippines	Western Coral Triangle
Lobatocystis yaito	Yamaguti, 1965          	Euthynnus affinis	Hawaiian coast	Hawaii
Neonematobothrium kawakawa	Yamaguti, 1965          	Euthynnus affinis	Hawaiian coast	Hawaii
Allodidymocodium unitubulare	Yamaguti, 1970          	Euthynnus affinis	Hawaiian coast	Hawaii
Allopseudocolocyntotrema claviforme	Yamaguti, 1970          	Euthynnus affinis	Hawaiian coast	Hawaii
Didymocodium euthynni	Yamaguti, 1970          	Euthynnus affinis	Hawaiian coast	Hawaii
Didymocystoides exiguus	Yamaguti, 1970          	Euthynnus affinis	Hawaiian coast	Hawaii
Didymozoon diverticulatum	Yamaguti, 1970          	Euthynnus affinis	Hawaiian coast	Hawaii
Kamegaia kawakawa	Yamaguti, 1970          	Euthynnus affinis	Hawaiian coast	Hawaii
Lecithochirium kawakawa	Yamaguti, 1970          	Euthynnus affinis	Hawaiian coast	Hawaii
Neonematobothrium dorsale	Yamaguti, 1970          	Euthynnus affinis	Hawaiian coast	Hawaii
Opepherocystis kawakawa	Yamaguti, 1970          	Euthynnus affinis	Hawaiian coast	Hawaii
Opepherotrematoides multitubularis	Yamaguti, 1970          	Euthynnus affinis	Hawaiian coast	Hawaii
Osteodidymocodium kawakawa	Yamaguti, 1970          	Euthynnus affinis	Hawaiian coast	Hawaii
Plerurus kawakawa	Yamaguti, 1970          	Euthynnus affinis	Hawaiian coast	Hawaii
Pseudocolocyntotrema yaito	Yamaguti, 1970          	Euthynnus affinis	Hawaiian coast	Hawaii
Rhipidocotyle kawakawa	Yamaguti, 1970          	Euthynnus affinis	Hawaiian coast	Hawaii
Triplocystoides yaito	Yamaguti, 1970          	Euthynnus affinis	Hawaiian coast	Hawaii
Lecithochirium kawakawa	Yamaguti, 1970          	Euthynnus affinis	Australia: Coast of Queensland	Northeast Australian Shelf
Prosogonarium angelae	Cribb & Bray, 1994        	Euristhmus lepturus	Australia: Coast of Queensland	Northeast Australian Shelf
Monodhelmis torpedinis	Dollfus, 1937          	Euristhmus lepturus	Australia: Coast of Queensland	Northeast Australian Shelf
Helicometra fasciata	(Rudolphi, 1819)          	Epinephelus quoyanus	Australia: Coast of Queensland	Northeast Australian Shelf
Cainocreadium epinepheli	(Yamaguti, 1934)          	Epinephelus quoyanus	Australia: Coast of Queensland	Northeast Australian Shelf
Allopodocotyle epinepheli	(Yamaguti, 1942)          	Epinephelus quoyanus	Australia: Coast of Queensland	Northeast Australian Shelf
Lepidapedoides kerapu	{of Rigby et al., 1997) [nom. nud.]     	Epinephelus quoyanus	Australia: Coast of Queensland	Northeast Australian Shelf
Lepidapedoides angustus	Bray, Cribb & Barker, 1996        	Epinephelus quoyanus	Australia: Coast of Queensland	Northeast Australian Shelf
Pearsonellum corventum	Overstreet & Koie, 1989        	Epinephelus quoyanus	Australia: Coast of Queensland	Northeast Australian Shelf
Bivesicula claviformis	Yamaguti, 1934          	Epinephelus quoyanus	Australia: Coast of Queensland	Northeast Australian Shelf
Lepidapedoides querni	Yamaguti, 1970          	Epinephelus quernus	Hawaiian coast	Hawaii
Lepidapedoides angustus	Bray, Cribb & Barker, 1996        	Epinephelus ongus	Australia: Coast of Queensland	Northeast Australian Shelf
Pearsonellum corventum	Overstreet & Koie, 1989        	Epinephelus ongus	Australia: Coast of Queensland	Northeast Australian Shelf
Pacificreadium serrani	(Nagaty & Abdel Aal, 1962)       	Epinephelus merra	Australia: Coast of Queensland	Northeast Australian Shelf
Helicometra fasciata	(Rudolphi, 1819)          	Epinephelus merra	Australia: Coast of Queensland	Northeast Australian Shelf
Cainocreadium epinepheli	(Yamaguti, 1934)          	Epinephelus merra	Australia: Coast of Queensland	Northeast Australian Shelf
Lepidapedoides kerapu	{of Rigby et al., 1997) [nom. nud.]     	Epinephelus merra	Australia: Coast of Queensland	Northeast Australian Shelf
Lepidapedoides angustus	Bray, Cribb & Barker, 1996        	Epinephelus merra	Australia: Coast of Queensland	Northeast Australian Shelf
Pseudoplagioporus interruptus	Durio & Manter, 1968        	Epinephelus merra	Australia: Coast of Queensland	Northeast Australian Shelf
Pearsonellum corventum	Overstreet & Koie, 1989        	Epinephelus merra	Australia: Coast of Queensland	Northeast Australian Shelf
Bivesicula claviformis	Yamaguti, 1934          	Epinephelus merra	Australia: Coast of Queensland	Northeast Australian Shelf
Erilepturus hamati	(Yamaguti, 1934)          	Epinephelus malabaricus	Coast of Philippines	Western Coral Triangle
Prosorhynchus pacificus	Manter, 1940          	Epinephelus malabaricus	Coast of Philippines	Western Coral Triangle
Prosorhynchus epinepheli	Yamaguti, 1939          	Epinephelus kohleri	South China Sea	South China Sea
Gonapodasmius haemuli	(MacCallum & MacCallum, 1916)        	Epinephelus guernus	Hawaiian coast	Hawaii
Mitotrema anthostomatum	Manter, 1963          	Epinephelus fuscoguttatus	Australia: Coast of Queensland	Northeast Australian Shelf
Helicometra fasciata	(Rudolphi, 1819)          	Epinephelus fasciatus	Australia: Coast of Queensland	Northeast Australian Shelf
Allopodocotyle epinepheli	(Yamaguti, 1942)          	Epinephelus fasciatus	Australia: Coast of Queensland	Northeast Australian Shelf
Lepidapedoides kerapu	{of Rigby et al., 1997) [nom. nud.]     	Epinephelus fasciatus	Australia: Coast of Queensland	Northeast Australian Shelf
Lepidapedoides angustus	Bray, Cribb & Barker, 1996        	Epinephelus fasciatus	Australia: Coast of Queensland	Northeast Australian Shelf
Folliculovarium xishaense	Gu & Shen, 1983        	Epinephelus fasciatus	South China Sea	South China Sea
Bivesicula claviformis	Yamaguti, 1934          	Epinephelus fasciatus	Australia: Coast of Queensland	Northeast Australian Shelf
Bivesicula claviformis	Yamaguti, 1934          	Epinephelus fasciatus	South China Sea	South China Sea
Lepidapedoides dollfusi	(Durio & Manter, 1968)        	Epinephelus cyanopodus	Australia: Coast of Queensland	Northeast Australian Shelf
Lepidapedoides angustus	Bray, Cribb & Barker, 1996        	Epinephelus cyanopodus	Australia: Coast of Queensland	Northeast Australian Shelf
Multitestis pyriformis	Manter, 1963          	Epinephelus cyanopodus	Australia: Coast of Queensland	Northeast Australian Shelf
Prosorhynchus mcintoshi	(Velasquez, 1959)          	Epinephelus bleekeri	Coast of Philippines	Western Coral Triangle
Helicometra aposinuata	Pritchard, 1966          	Epinephelus awoara	South China Sea	South China Sea
Plagioporus oligolecithosus	Wang, Wang & Zhang, 1992        	Epinephelus awoara	South China Sea	South China Sea
Helicometra epinepheli	Yamaguti, 1934          	Epinephelus akaara	South China Sea	South China Sea
Diploproctodaeum rutellum	(Mamaev, 1970)          	Ephippus orbis	South China Sea	South China Sea
Duosphincter zancli	Manter & Pritchard, 1960        	Elops saurus	South China Sea	South China Sea
Plagioporus eleutheronemae	Wang, Wang & Zhang, 1992        	Eleutheronema tetradactylus	South China Sea	South China Sea
Ascocotyle felippei	Price, 1935          	Eleotris sandwicensis	Hawaiian Islands	Hawaii
Torticaecum nipponicum	Yamaguti, 1942          	Eleotris fusca	Coast of Philippines	Western Coral Triangle
Tubulovesicula angusticauda	(Nicoll, 1915)          	Echeneis naucrates	Australia: Coast of Queensland	Northeast Australian Shelf
Echeneidocoelium indicum	Simha & Pershad, 1964        	Echeneis naucrates	Australia: Coast of Queensland	Northeast Australian Shelf
Parahemiurus clupeae	Yamaguti, 1953          	Dussumieria hasseltii	South China Sea	South China Sea
Diploproctia drepanei	Mamaev, 1970          	Drepane punctata	South China Sea	South China Sea
Hypocreadium drepanei	Shen, 1990          	Drepane punctata	South China Sea	South China Sea
Hypocreadium drepanei	Shen, 1990          	Drepane longimana	South China Sea	South China Sea
Lepocreadium drepanei	Shen, 1990          	Drepane longimana	South China Sea	South China Sea
Thulinia microrchis	(Yamaguti, 1934)          	Dischistodus melanotus	Australia: Coast of Queensland	Northeast Australian Shelf
Ectenurus trachuri	(Yamaguti, 1934)          	Diploprion bifasciatum	Australia: Coast of Queensland	Northeast Australian Shelf
Lepidapedoides angustus	Bray, Cribb & Barker, 1996        	Diploprion bifasciatum	Australia: Coast of Queensland	Northeast Australian Shelf
Aephnidiogenes hainanensis	Shen & Tung, 1990        	Diagramma pictum	South China Sea	South China Sea
Aephnidiogenes major	Yamaguti, 1934          	Diagramma pictum	South China Sea	South China Sea
Paramonorcheides pseudocaranxi	Dove & Cribb, 1998        	Diagramma labiosum	Australia: Coast of Queensland	Northeast Australian Shelf
Aephnidiogenes major	Yamaguti, 1934          	Diagramma labiosum	Australia: Coast of Queensland	Northeast Australian Shelf
Ectenurus lepidus	Looss, 1907          	Decapterus maruadsi	South China Sea	South China Sea
Plagioporus branchiostegi	Yamaguti, 1937          	Decapterus maruadsi	South China Sea	South China Sea
Plagioporus branchiostegi	Yamaguti, 1937          	Decapterus lajand	South China Sea	South China Sea
Prosorhynchus clavatum	Wang, 1980          	Dasyatis kuhlii	South China Sea	South China Sea
Thulinia microrchis	(Yamaguti, 1934)          	Dascyllus reticulatus	Australia: Coast of Queensland	Northeast Australian Shelf
Hysterolecitha nahaensis	Yamaguti, 1942          	Dascyllus reticulatus	Australia: Coast of Queensland	Northeast Australian Shelf
Thulinia microrchis	(Yamaguti, 1934)          	Dascyllus aruanus	Australia: Coast of Queensland	Northeast Australian Shelf
Mitotrema anthostomatum	Manter, 1963          	Dascyllus aruanus	Australia: Coast of Queensland	Northeast Australian Shelf
Hysterolecitha nahaensis	Yamaguti, 1942          	Dascyllus aruanus	Australia: Coast of Queensland	Northeast Australian Shelf
Lepocreadium clavatum	(Ozaki, 1932)          	Dascyllus albisella	Hawaiian coast	Hawaii
Lepotrema clavatum	Ozaki, 1932          	Dascyllus albisella	Hawaiian coast	Hawaii
Anisoporus cobraeformis	Ozaki, 1928          	Dactylopterus orientalis	South China Sea	South China Sea
Diplangus hainanensis	Shen, 1990          	Cypselurus bahiensis	South China Sea	South China Sea
Aponurus laguncula	Looss, 1907          	Cynoglossus semilaevis	South China Sea	South China Sea
Opecoelus himezi	Yamaguti, 1951          	Cynoglossus joyneri	South China Sea	South China Sea
Plagioporus spari	Yamaguti, 1951          	Cynoglossus joyneri	South China Sea	South China Sea
Lepocreadioides orientalis	Park, 1939          	Cynoglossus bilineatus	Australia: Coast of Queensland	Northeast Australian Shelf
Schikhobalotrema hawaiiense	Pritchard & Manter, 1961        	Ctenochaetus strigosus	Hawaiian coast	Hawaii
Mitotrema anthostomatum	Manter, 1963          	Cromileptes altivelis	Australia: Coast of Queensland	Northeast Australian Shelf
Paucivitellosus fragilis	Coil, Reid & Kuntz, 1965        	Crenimugil labiosus	Australia: Coast of Queensland	Northeast Australian Shelf
Hymenocotta mulli	Manter, 1961          	Crenimugil labiosus	Australia: Coast of Queensland	Northeast Australian Shelf
Paucivitellosus fragilis	Coil, Reid & Kuntz, 1965        	Crenimugil crenilabis	Australia: Coast of Queensland	Northeast Australian Shelf
Crusziella formosa	Cribb, Bray & Barker, 1992        	Crenimugil crenilabis	Australia: Coast of Queensland	Northeast Australian Shelf
Hymenocotta mulli	Manter, 1961          	Crenimugil crenilabis	Australia: Coast of Queensland	Northeast Australian Shelf
Provitellotrema crenimugilis	Pan, 1984          	Crenimugil crenilabis	South China Sea	South China Sea
Galactosomum bearupi	Pearson, 1973          	Crenimugil crenilabis	Australia: Coast of Queensland	Northeast Australian Shelf
Prototransversotrema steeri	(Angel, 1969)          	Craterocephalus marjoriae	Queensland	Northeast Australian Shelf
Hirudinella clavata	(Menzies, 1791)          	Coryphaena hippurus	Hawaiian coast	Hawaii
Dinurus longisinus	Looss          	Coryphaena hippurus	South China Sea	South China Sea
Dinurus longisinus	Looss, 1907          	Coryphaena hippurus	South China Sea	South China Sea
Dinurus longisinus	Looss, 1907          	Coryphaena hippurus	Coast of New Guinea	Western Coral Triangle
Tetrochetus coryphaenae	Yamaguti, 1934          	Coryphaena hippurus	South China Sea	South China Sea
Multitestis pyriformis	Manter, 1963          	Coradion chrysozonus	Australia: Coast of Queensland	Northeast Australian Shelf
Coitocaecum anaspidis	Hickman & Macfarlane, 1939        	Collichthys lucidus	South China Sea	South China Sea
Aphanurus stossichii	(Monticelli, 1891)          	Coilia nasus	South China Sea	South China Sea
Neoaphanurus magniprotesticus	Tang, Shi & Pan, 1983        	Coilia mystus	South China Sea	South China Sea
Lecithaster confusus	Odhner, 1905          	Coilia grayii	South China Sea	South China Sea
Rhipidocotyle coiliae	Wang, 1980          	Coilia ectenes	South China Sea	South China Sea
Dollfustrema cociellae	(Gu & Shen, 1976)        	Cociella crocodila	South China Sea	South China Sea
Telorhynchus cociellae	Gu & Shen, 1976        	Cociella crocodila	South China Sea	South China Sea
Aphanurus xiamenensis	Liu, 1995          	Clupanodon punctatus	South China Sea	South China Sea
Lecithaster clupanodonae	Liu, 1995          	Clupanodon punctatus	South China Sea	South China Sea
Opecoelus minimus	(Tubangui, 1928)          	Clarias batrachus	Coast of Philippines	Western Coral Triangle
Lecithochirium cirrhiti	(Manter & Pritchard, 1960)        	Cirrhitus alternatus	Hawaiian coast	Hawaii
Rhipidocotyle coiliae	Wang, 1980          	Cirrhimuraena chinensis	South China Sea	South China Sea
Hysterolecitha nahaensis	Yamaguti, 1942          	Chrysiptera rollandi	Australia: Coast of Queensland	Northeast Australian Shelf
Lecithaster stellatus	Looss, 1906          	Chrysiptera flavipinnis	Australia: Coast of Queensland	Northeast Australian Shelf
Hysterolecitha nahaensis	Yamaguti, 1942          	Chrysiptera flavipinnis	Australia: Coast of Queensland	Northeast Australian Shelf
Mitotrema anthostomatum	Manter, 1963          	Chromis viridis	Australia: Coast of Queensland	Northeast Australian Shelf
Hysterolecitha nahaensis	Yamaguti, 1942          	Chromis viridis	Australia: Coast of Queensland	Northeast Australian Shelf
Podocotyle atomon	(Rudolphi, 1802)          	Chromis notatus	South China Sea	South China Sea
Helicometra hypodytis	Yamaguti, 1934         	Chromis notatus	South China Sea	South China Sea
Hysterolecitha nahaensis	Yamaguti, 1942          	Chromis nitida	Australia: Coast of Queensland	Northeast Australian Shelf
Hysterolecitha nahaensis	Yamaguti, 1942          	Chromis atripectoralis	Australia: Coast of Queensland	Northeast Australian Shelf
Uterovesiculurus sinensis	Gu & Shen, 1978        	Chorinemus lysan	South China Sea	South China Sea
Venusicola inusitatus	Bray & Cribb, 2000        	Choerodon venustus	Australia: Coast of Queensland	Northeast Australian Shelf
Postlepidapedon spissum	Bray, Cribb & Barker, 1997        	Choerodon venustus	Australia: Coast of Queensland	Northeast Australian Shelf
Postlepidapedon uberis	Bray, Cribb & Barker, 1997        	Choerodon venustus	Australia: Coast of Queensland	Northeast Australian Shelf
Callohelmis pichelinae	Cribb & Bray, 1999        	Choerodon venustus	Australia: Coast of Queensland	Northeast Australian Shelf
Transversotrema haasi	Witenberg, 1944          	Choerodon venustus	Australia: Coast of Queensland	Northeast Australian Shelf
Postlepidapedon spissum	Bray, Cribb & Barker, 1997        	Choerodon schoenleinii	Australia: Coast of Queensland	Northeast Australian Shelf
Postlepidapedon uberis	Bray, Cribb & Barker, 1997        	Choerodon schoenleinii	Australia: Coast of Queensland	Northeast Australian Shelf
Postlepidapedon secundum	(Durio & Manter, 1968)        	Choerodon graphicus	Australia: Coast of Queensland	Northeast Australian Shelf
Postlepidapedon spissum	Bray, Cribb & Barker, 1997        	Choerodon fasciatus	Australia: Coast of Queensland	Northeast Australian Shelf
Proctoeces maculatus	(Looss, 1901)          	Choerodon cyanodus	Australia: Coast of Queensland	Northeast Australian Shelf
Postlepidapedon spissum	Bray, Cribb & Barker, 1997        	Choerodon cyanodus	Australia: Coast of Queensland	Northeast Australian Shelf
Lecithaster stellatus	Looss, 1906          	Choerodon cyanodus	Australia: Coast of Queensland	Northeast Australian Shelf
Mitotrema anthostomatum	Manter, 1963          	Choerodon cyanodus	Australia: Coast of Queensland	Northeast Australian Shelf
Podocotyle lanceolata	Price, 1934          	Choerodon azurio	South China Sea	South China Sea
Macvicaria longisaccus	(Fischthal & Kuntz, 1964)        	Choerodon anchorago	Coast of Philippines	Western Coral Triangle
Parahemiurus merus	(Linton, 1910)          	Chlorophthalmus agassizi	South China Sea	South China Sea
Pseudopecoelina chirocentrosus	Shen, 1986          	Chirocentrus nudus	South China Sea	South China Sea
Plerurus digitatus	(Looss, 1899)          	Chirocentrus dorab	Australia: Coast of Queensland	Northeast Australian Shelf
Hysterolecitha chirocentri	Ku & Shen, 1964        	Chirocentrus dorab	South China Sea	South China Sea
Acanthocolpus liodorus	Luhe, 1906          	Chirocentrus dorab	South China Sea	South China Sea
Stephanostomoides dorabi	Mamaev & Oshmarin, 1966        	Chirocentrus dorab	South China Sea	South China Sea
Pseudopecoelina chirocentrosus	Shen, 1986          	Chirocentrus dorab	South China Sea	South China Sea
Sterrhurus chirocentri	Shen, 1990          	Chirocentrus dorab	South China Sea	South China Sea
Stomachicola hainanensis	Shen, 1990          	Chirocentrus dorab	South China Sea	South China Sea
Paracryptogonimus ovatus	Yamaguti, 1952          	Chirocentrus dorab	South China Sea	South China Sea
Paucivitellosus fragilis	Coil, Reid & Kuntz, 1965        	Chelon troscheli	South China Sea	South China Sea
Paradiscogaster eniwetokensis	Martin & Hammerich, 1970        	Chelmon rostratus	Australia: Coast of Queensland	Northeast Australian Shelf
Pleorchis uku	Yamaguti          	Chelidonichthys kumu	South China Sea	South China Sea
Lecithophyllum cheilionis	(Fischthal & Kuntz, 1964)        	Cheilio inermis	Coast of Philippines	Western Coral Triangle
Diplobulbus minutus	Pritchard, 1966          	Cheilio inermis	Hawaiian coast	Hawaii
Lecithaster stellatus	Looss, 1906          	Cheilinus diagrammus	Australia: Coast of Queensland	Northeast Australian Shelf
Transversotrema haasi	Witenberg, 1944          	Cheilinus diagrammus	Coast of Philippines	Western Coral Triangle
Transversotrema patialense	(Soparkar, 1924)          	Chanos chanos	Coast of Philippines	Western Coral Triangle
Genolinea awa	(Yamaguti, 1965)          	Chanos chanos	Coast of Philippines	Western Coral Triangle
Isorchis parvus	Durio & Manter, 1969        	Chanos chanos	Coast of Philippines	Western Coral Triangle
Manteriella chanis	Shen, 1986          	Chanos chanos	South China Sea	South China Sea
Pseudobunocotyla awa	Yamaguti, 1965          	Chanos chanos	Coast of Philippines	Western Coral Triangle
Opecoelus minimus	(Tubangui, 1928)          	Channa striata	Coast of Philippines	Western Coral Triangle
Neopreptetos kurochkini	(Toman, 1989)          	Chaetodontoplus meredithi	Australia: Coast of Queensland	Northeast Australian Shelf
Thulinia microrchis	(Yamaguti, 1934)          	Chaetodontoplus meredithi	Australia: Coast of Queensland	Northeast Australian Shelf
Koseiria huxleyi	Bray & Cribb, 2001        	Chaetodontoplus meredithi	Australia: Coast of Queensland	Northeast Australian Shelf
Neohypocreadium dorsoporum	Machida & Uchida, 1987        	Chaetodon vagabundus	Australia: Coast of Queensland	Northeast Australian Shelf
Paradiscogaster glebulae	Bray, Cribb & Barker, 1994        	Chaetodon unimaculatus	Australia: Coast of Queensland	Northeast Australian Shelf
Paradiscogaster eniwetokensis	Martin & Hammerich, 1970        	Chaetodon unimaculatus	Australia: Coast of Queensland	Northeast Australian Shelf
Paradiscogaster quasimodo	Bray, Cribb & Barker, 1994        	Chaetodon ulietensis	Australia: Coast of Queensland	Northeast Australian Shelf
Neohypocreadium dorsoporum	Machida & Uchida, 1987        	Chaetodon ulietensis	Australia: Coast of Queensland	Northeast Australian Shelf
Paradiscogaster eniwetokensis	Martin & Hammerich, 1970        	Chaetodon ulietensis	Australia: Coast of Queensland	Northeast Australian Shelf
Paradiscogaster chaetodontis	Yamaguti, 1938          	Chaetodon ulietensis	Australia: Coast of Queensland	Northeast Australian Shelf
Paradiscogaster flindersi	Bray, Cribb & Barker, 1994        	Chaetodon trifasciatus	Australia: Coast of Queensland	Northeast Australian Shelf
Symmetrovesicula chaetodontis	Yamaguti, 1938          	Chaetodon trifasciatus	Australia: Coast of Queensland	Northeast Australian Shelf
Paradiscogaster flindersi	Bray, Cribb & Barker, 1994        	Chaetodon trifascialis	Australia: Coast of Queensland	Northeast Australian Shelf
Paradiscogaster eniwetokensis	Martin & Hammerich, 1970        	Chaetodon trifascialis	Marshall Islands	Marshall, Gilbert and Ellis Islands
Paradiscogaster eniwetokensis	Martin & Hammerich, 1970        	Chaetodon trifascialis	Australia: Coast of Queensland	Northeast Australian Shelf
Paradiscogaster glebulae	Bray, Cribb & Barker, 1994        	Chaetodon speculum	Australia: Coast of Queensland	Northeast Australian Shelf
Paradiscogaster eniwetokensis	Martin & Hammerich, 1970        	Chaetodon speculum	Australia: Coast of Queensland	Northeast Australian Shelf
Symmetrovesicula chaetodontis	Yamaguti, 1938          	Chaetodon speculum	Australia: Coast of Queensland	Northeast Australian Shelf
Paradiscogaster flindersi	Bray, Cribb & Barker, 1994        	Chaetodon rainfordi	Australia: Coast of Queensland	Northeast Australian Shelf
Paradiscogaster glebulae	Bray, Cribb & Barker, 1994        	Chaetodon rainfordi	Australia: Coast of Queensland	Northeast Australian Shelf
Paradiscogaster eniwetokensis	Martin & Hammerich, 1970        	Chaetodon rainfordi	Australia: Coast of Queensland	Northeast Australian Shelf
Symmetrovesicula chaetodontis	Yamaguti, 1938          	Chaetodon rainfordi	Australia: Coast of Queensland	Northeast Australian Shelf
Paradiscogaster flindersi	Bray, Cribb & Barker, 1994        	Chaetodon plebeius	Australia: Coast of Queensland	Northeast Australian Shelf
Neohypocreadium dorsoporum	Machida & Uchida, 1987        	Chaetodon plebeius	Australia: Coast of Queensland	Northeast Australian Shelf
Paradiscogaster eniwetokensis	Martin & Hammerich, 1970        	Chaetodon plebeius	Australia: Coast of Queensland	Northeast Australian Shelf
Paradiscogaster chaetodontis	Yamaguti, 1938          	Chaetodon plebeius	Australia: Coast of Queensland	Northeast Australian Shelf
Symmetrovesicula chaetodontis	Yamaguti, 1938          	Chaetodon plebeius	Australia: Coast of Queensland	Northeast Australian Shelf
Neohypocreadium dorsoporum	Machida & Uchida, 1987        	Chaetodon pelewensis	Australia: Coast of Queensland	Northeast Australian Shelf
Mitotrema anthostomatum	Manter, 1963          	Chaetodon pelewensis	Australia: Coast of Queensland	Northeast Australian Shelf
Paradiscogaster flindersi	Bray, Cribb & Barker, 1994        	Chaetodon ornatissimus	Australia: Coast of Queensland	Northeast Australian Shelf
Paradiscogaster glebulae	Bray, Cribb & Barker, 1994        	Chaetodon ornatissimus	Australia: Coast of Queensland	Northeast Australian Shelf
Paradiscogaster quasimodo	Bray, Cribb & Barker, 1994        	Chaetodon ornatissimus	Australia: Coast of Queensland	Northeast Australian Shelf
Paradiscogaster eniwetokensis	Martin & Hammerich, 1970        	Chaetodon ornatissimus	Australia: Coast of Queensland	Northeast Australian Shelf
Podocotyloides stenometra	Pritchard, 1966          	Chaetodon multicinctus	Hawaiian coast	Hawaii
Lecithaster xiamenensis	Liu, 1995          	Chaetodon modestus	South China Sea	South China Sea
Cardicola chaetodontis	Yamaguti, 1970          	Chaetodon miliaris	Hawaiian coast	Hawaii
Paradiscogaster glebulae	Bray, Cribb & Barker, 1994        	Chaetodon mertensii	Australia: Coast of Queensland	Northeast Australian Shelf
Transversotrema licinum	Manter, 1970          	Chaetodon mertensii	Australia: Coast of Queensland	Northeast Australian Shelf
Neohypocreadium dorsoporum	Machida & Uchida, 1987        	Chaetodon melannotus	Australia: Coast of Queensland	Northeast Australian Shelf
Paradiscogaster chaetodontis	Yamaguti, 1938          	Chaetodon melannotus	Australia: Coast of Queensland	Northeast Australian Shelf
Paradiscogaster quasimodo	Bray, Cribb & Barker, 1994        	Chaetodon lineolatus	Australia: Coast of Queensland	Northeast Australian Shelf
Neohypocreadium dorsoporum	Machida & Uchida, 1987        	Chaetodon lineolatus	Australia: Coast of Queensland	Northeast Australian Shelf
Paradiscogaster chaetodontis	Yamaguti, 1938          	Chaetodon lineolatus	Australia: Coast of Queensland	Northeast Australian Shelf
Thulinia microrchis	(Yamaguti, 1934)          	Chaetodon kleinii	Australia: Coast of Queensland	Northeast Australian Shelf
Neohypocreadium dorsoporum	Machida & Uchida, 1987        	Chaetodon kleinii	Australia: Coast of Queensland	Northeast Australian Shelf
Thulinia microrchis	(Yamaguti, 1934)          	Chaetodon fremblii	Hawaiian coast	Hawaii
Cardicola chaetodontis	Yamaguti, 1970          	Chaetodon fremblii	Hawaiian coast	Hawaii
Neohypocreadium dorsoporum	Machida & Uchida, 1987        	Chaetodon flavirostris	Australia: Coast of Queensland	Northeast Australian Shelf
Paradiscogaster eniwetokensis	Martin & Hammerich, 1970        	Chaetodon flavirostris	Australia: Coast of Queensland	Northeast Australian Shelf
Thulinia microrchis	(Yamaguti, 1934)          	Chaetodon citrinellus	Australia: Coast of Queensland	Northeast Australian Shelf
