Species	South_China_Sea	Sunda_Shelf	Java_Transitional	South_Kuroshio	Tropical_Northwestern_Pacific	Western_Coral_Triangle	Eastern_Coral_Triangle	Sahul_Shelf	Northeast_Australian_Shelf	Northwest_Australian_Shelf	Tropical_Southwestern_Pacific	Lord_Howe_and_Norfolk_Islands	Hawaii	Marshall_Gilbert_and_Ellis_Islands	Central_Polynesia	Southeast_Polynesia	Marquesas	Easter_Island
Acanthurus reversus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Acanthurus tennentii	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Acanthurus thompsoni	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0
Acanthurus triostegus	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Acanthurus tristis	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Acanthurus xanthopterus	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
Acarobythites larsonae	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Acentrogobius janthinopterus	0	1	0	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0
Acentrogobius nebulosus	0	1	0	0	1	1	1	0	1	1	1	0	0	0	1	1	0	0
Acentronura gracilissima	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Acentronura tentaculata	0	1	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0
Acreichthys radiatus	0	1	0	1	0	1	1	0	1	1	1	0	0	0	0	1	0	0
Acreichthys tomentosus	0	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
Aeoliscus strigatus	0	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
Aesopia cornuta	1	1	0	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0
Aetapcus maculatus	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Aethaloperca rogaa	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0
Aetobatus narinari	0	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1
Aetomylaeus maculatus	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0
Aetomylaeus nichofii	1	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0
Aetomylaeus vespertilio	1	1	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0
Aioliops brachypterus	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Aioliops megastigma	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
Aioliops novaeguineae	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
Aioliops tetrophthalmus	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0
